用户名,评论时间,评论内容,评分,赞同数,情感
蓝霉沉皮,2022/3/27 14:48,除了讲PPT时反复做洗澡动作，没啥好笑的，全片不痛不痒，浪费好创意的同时，不管填逻辑细节，一味drama矫情煽情。结局双向奔赴还在一起大可不必，你要说这是友情我会更信。主题讲的是彼此能懂才有真爱，传说中的0.1%，但情节和这个“懂”字没毛关系，一个pua你的衣冠禽兽不是不懂你而是人烂的问题，一个在你只能做调音师时说你是天才的人是人好并且欣赏你的问题。焦迈奇的片尾曲挺hit song的。女主白百何接班人。施柏宇接点好东西吧。,30,4,1
kakakarl,2022/3/23 0:20,俩个演员倒是不让人反感。奇幻设定并不代表剧情可以悬浮，男主就像是一个虚幻缥缈的精致的装饰品，依附在女主的需求上，但是又不知道他的生活和需求是什么，每天在自己的屋子里看书弹钢琴就行了。,20,3,0
龙皇,2022/11/2 18:11,居然能心灵互通，还能控制对方身体，简直比《苍兰诀》还牛，感觉要神经。女主像李沁，结局很圆满。,30,0,1
雪梨cafe,2022/3/20 19:30,如果不是施柏宇就不看了,30,7,1
百代过客,2022/2/14 15:06,如果情人节这天进影院必须选部带爱情元素的看，相信我，《四海》是你们的最佳选择。不是反话！！！影院排片人试毒完毕，三部情人节的破片子属实把我看吐了！！！,10,32,0
凉水,2022/3/24 16:04,- -,0,0,0
LEのn个晴天,2022/2/18 12:08,就还行，中规中矩国产爱情小清新片。中间周依然在开会的时候洗澡算是全片唯一的笑点。作为一个爱情片，两个主角全程隔空对话只有在最后才面对面见到也是有些缺少甜蜜感，施柏宇有点僵，没有想见你里那么可爱呀。,30,4,1
玉子,2022/2/14 14:36,颜值补不了烂剧情,10,60,0
彩戏师wala,2022/11/5 2:13,不要把世界让给小看你的人。女主真好看,30,0,1
大奇特(Grinch),2022/2/14 15:55,网大视听，哪哪都不电影，核心idea还是借的乔斯.韦登那部《你眼中的世界》的构思。致命伤是阴阳失调（即观众只能看到女主的生活，男主的生活为零，他只是一间空屋的躯壳，没有血肉，你甚至不知道他唯一昏迷的朋友和他的关系到底如何，以及为何昏迷）。后期为匹配分屏画面的镜头组接，却造成了虚焦，在大银幕上看缺点一览无余。我也就看看周依然吧。,10,10,0
朝阳区妻夫木聪,2022/4/5 23:54,焦迈奇躺着就演完全片，还顺带卖了一首歌版权，好羡慕，我也想这么赚钱。,10,11,0
冰冻的赤烈鱼,2022/2/14 11:55,各种桥段元素无脑拼凑，哎，就不应该情人节看电影，男主有一点酥感挺适合角色，女主还是之前风犬少年的娇姐适合她，无逻辑的剧情导致看不出演技。,10,41,0
里昂,2022/3/21 23:44,故事很简单，在中国的女主和在德国的男主因为女主头部意外撞击，两人的脑电波达到同频，双放的味觉触觉等感官互通，一方冷对方需要穿棉袄，一方喝咖啡对方也睡不着！如果有一方心跳超过100了，就可以控制对方,20,0,0
娱乐圈梗姐,2022/7/15 13:06,整体还挺逗的，结尾有点俗套，能猜出来男主没死，也能猜出来两个人最终会相遇，女主去德国找男主结果两个人的错过有点刻意了。比较喜欢前面两个人隔空聊天的部分，很奇妙哦。,20,0,0
今天不再做咸鱼,2022/6/7 0:27,施柏宇真的很帅……不爱看月亮与六便士、不整天嘴里都提毛姆就更帅了,30,6,1
歹喜虎,2022/10/17 1:40,莫名喜欢这种傻逼设定的“网恋”故事，其通过影像的视觉化处理之后，明明很幼稚的剧情，看的却好爽。,30,0,1
王大根,2022/3/25 23:10,网剧式写法，台词主要由网络流行语和“这个应该能成为金句”构成,20,1,0
?,2022/4/3 1:19,现在抄创意都不用付版权费了吗？虽然但是，还是比光线爱情片好多了……,0,0,0
豆瓣路人己,2022/2/14 10:06,网大变电影，后期上做了很多努力，但依旧干瘪无力。（周依然的发际线危！,20,34,0
"杉小爱|好姑娘,咱们走起来",2022/3/25 18:55,这个不就是《你眼中的世界》仿版嘛,10,2,0
残小雪,2022/5/21 20:07,他们第一次自我介绍的时候，女主就应该猜出来：远方的男主，你的家乡是台湾！,10,1,0
微果儿,2022/7/23 9:16,男女主脑电波贯通了。全篇不相见，就在脑子里相处。这……这……有没有科学依据？,20,0,0
谢谢你们的鱼,2022/3/18 20:41,low得一塌糊涂,10,1,0
白开水,2022/2/15 18:58,能看吧,30,5,1
WIKI魏,2022/2/28 1:14,能自己花钱买票到电影院看这种爱情片的，只有那种逛街还能牵手搂抱接吻的CP，那就当成恋爱的代价吧,10,2,0
惘然,2022/2/15 17:42,"看完电影和朋友一路狂笑出了影院，真的是太可笑了。
这电影也就找两个年轻漂亮的演员才是爱情，我就问万一对方是宝强怎么办？要不要先奔现，不着急爱？
最惨的难道不是焦迈奇？全程工具人，用生命给男女主推动剧情，最后还要献唱片尾曲。
隔壁座情侣中的男的全程抚额，我想，他看到后来大概都后悔谈恋爱了，毕竟不谈恋爱也不用受这个酷刑来看这部电影。",20,1,0
李湘,2022/2/14 14:59,几个演员都是熟人。颜值没话说。可是，这个剧情也太那个了吧。,30,16,1
木木夕念长街,2022/2/14 22:57,太甜。被剧终的致辞戳痛。,30,10,1
张兮兮,2022/5/24 9:57,我也想明白了，爱情电影对观众来说是刚需，拍得多垃圾都有人看，而且又没有过审压力，我要是投资人也会拍这种电影，谁让市场就是这样。,10,0,0
Hi Friday,2022/4/10 23:09,女主可真让人讨厌……本来我感觉没那么烂的，因为她我还是只想给一星。,10,0,0
吸血鬼,2022/2/14 22:07,"施柏宇好帅啊好帅啊，只不过当时在想见你时候被许光汉比下去了（因为光汉在我眼里就是封神不容反驳），但是单独看还是超帅的，又是96年的，不是弟弟也是很可。
情节可爱算不上什么“好电影”但是也不难看的爆米花情人节快乐电影。
ps.电影结尾电影名字旁边来一句:这就是带你来看的人想对你说的话，噗哈哈哈哈哈哈哈我带我弟来看的，，，，，，，，",40,56,1
粗眉毛的甘乐,2022/4/6 19:20,好过时，连里面的矫情和悬浮都非常过时。我对周依然也没期待了。,0,0,0
我来我征服,2022/4/13 21:56,当初想为了施柏宇和奇幻题材，试一下情人节档的影片质量，幸亏我跑得快,20,0,0
mOco,2022/4/11 14:10,不算很差的想法，分屏拍摄显然是跟《你眼中的世界》学的，但也太差劲了吧。其实还是单一视角，男主那条线结束了也没解释清楚……,10,0,0
我要上斯坦福,2022/2/15 14:06,1、通感的设定还挺有意思的。2、女主去德国找高昂发现高昂死了，最后又发现这是个误会，这个设定比同期上映的其它两部情人节电影要高明多了....3、施柏宇又高又壮又帅...喜欢这款弯弯男生。4、三部情人节电影一定要看一部的话，我推荐这部,40,32,1
争气,2022/3/16 21:17,花钱进电影院的宝宝们你们当时有多痛苦？我真的是看了开头就想退出来，女主怎么这么膈应人呢！,10,2,0
废话大王-,2022/5/29 18:26,"说实在的前1/3还可以，有几处会让我笑出声，大概到了中间mv式的剪辑开始往后就让我直接无语…以及，整部电影就像是一个失败的《月亮与六便士》的长篇广告…

（周依然有点像白百何?周冬雨
（施柏宇还是太帅了，多一星给他…",20,0,0
Lynchman,2022/3/21 11:48,创意虽猥琐但不差，奈何嵌套的都是顶级刻板印象，视听表达手法也不高明（近乎不及格）。,20,1,0
团小纸,2022/6/14 18:22,为啥会允许把mv拍成电影？,10,0,0
O型血,2022/2/20 19:22,这都什么乱七八糟的啊,10,3,0
淡定,2022/3/19 15:47,前面乐死我了，后面快进，尤其是从和渣男确定关系以后的部分。施柏宇说德语真有学霸的架势，本来他的嗓音就动听；另外，他的模样非常耐看，区别他人的气质，视觉感也吸引着我,30,4,1
┢落┦,2022/3/16 13:22,这个小设定其实有点意思，但是具体的实现上还是过于套路和无聊了。和大多数不太好的国产爱情片都一样，做得最好的是第一幕。整体还是挺可爱的，我觉得选角也还行。,20,5,0
超cute侠,2022/3/19 20:03,一个拿来主义的奇幻故事，不仅没解决本土逻辑自洽，该有趣的地方也没发挥出来，而且这完全是女主的成长戏，我数次以为男主只是女主脑子里的声音，俩人的爱情来得毫无说服力，女主摇身变总裁也是异想天开的很，焦迈奇好可怜只演了个将死之人，男二好像孟鹤堂，施柏宇完全没角色发挥空间。,10,1,0
空山,2022/2/15 11:29,我宣布这是2022年情人节档最佳影片，可以凭1分优势领先《十年一品温如言》和《不要忘记我爱你》。主要赢在时长最短，烂得平凡，起码看完另外两部，这个已经不值得我恨了。,10,26,0
浆糊骗子,2022/2/14 13:36,这种土味大数据支撑的反转大团圆真没必要请莫俊杰来演，随便找个塑料小生足够用啦 （双双靠山争手替弹钢琴,10,16,0
兵部左侍郎千夏,2022/2/17 12:56,又黑了一个职业:建筑设计师,10,6,0
嘟嘟熊之父,2022/3/31 19:20,气到窒息。,10,1,0
WrongMe,2023/1/18 23:02,大街上自言自语的时候能不能戴个蓝牙耳机？三年就能从助理做到主任的位置、从默默无闻做到艺术家？（焦迈奇）是（施柏宇）的男朋友吗？这真的是一篇高三时看会哭的青春伤痛文学。不健康的爱情故事。,20,0,0
地铁姑娘札姬,2023/3/7 1:51,（2022.3.23）女主演技和情节都挺尬的，这样难看无脑的电影竟然能在2022年三部情人节影片中靠口碑走得最远……小明虽然只考了30分，但哥哥考了25，弟弟考了20，小明第一。,10,0,0
wang,2022/2/19 19:45,情人节的时候看个水剧，男女主也是正常路人颜，正好,30,0,1
miss z,2022/3/19 1:05,其实我觉得还行啊 本身是个爱情片 加点奇幻 有了乐趣性 要不然俩人唧唧歪歪谈恋爱我是不会看的 这个疫情期间看真的很好 很轻松,30,1,1
阿山,2022/3/30 12:35,女主有点像白百何啊，虽然看过男主的剧，但这电影里男主演技真的不行，知道是烂片，就是好奇看看。,20,2,0
韦恩斯坦_李,2022/4/21 22:03,“触不到的恋人”这种情节的故事早就看过了，所以看着也没什么新鲜感，只是看看周依然和施柏宇的颜还不错，感觉青春真美好啊。这个周依然确实很漂亮，年轻有活力，有那么一点像周冬雨，也有那么一点像我一个朋友。,30,0,1
念已,2022/3/17 11:14,不知所云,20,1,0
邵禹升,2022/3/18 0:46,我擦，用超现实主义玩雌雄同体？？就好像用月亮与六便士体会现实人生。这玩的高级呀……可这东西一出，就肯定是有点扯呀！被烂片的几率很大……再加上渣男的狗血，就注定了迂腐……PS：关键这手机还扔鱼缸里了，属实有点装逼啊！,20,1,0
kinder23,2022/3/26 1:08,什么地摊文学，要命……难道爱情电影就是疯狂说所谓的金句？国内的电影人对爱情片到底有什么误解……,10,0,0
Belle,2022/4/1 8:53,加了双重熟人巨厚滤镜之后——我可以给个推荐啊哈哈哈哈哈哈哈哈！本来网剧电影的小成本能上院线，夫复何求。（看到重复出现的熟悉的蜂巢方案笑死&山西口音的甲方到底在影射什么啊哈哈哈哈哈哈哈哈哈）,40,0,1
木柵永樂町,2022/3/19 14:10,"人物刻板臉譜化… 劇情高糊… 太多廢戲…(印象在抖/快上刷到過類似題材的短視頻&短劇… MCN拍的還比較'精彩', 至少不拖沓…（ 闆精闢總監：施沒能激起女性受眾的戀愛荷爾蒙?? 演技也還要再加油… 同樣是因為[想見你]跨海走紅, 光漢在對岸接了些愛情戲後 又回TW發展了[至少21年底~22年初都在TW拍戲, 非甜寵題材]… （前車之鑒'李鴻其', 接連兩部愛情片口碑都撲街[雖然'時間盡頭'票房賣回本了]… 後續露臉的基本都是男二/男三/客串，但他有演技傍身… （ 要走流量小生or實力演員 真的要規劃好發展方向…",10,1,0
大红袍不是绿茶,2022/3/27 15:14,平平无奇爱情片，开头太不吸引人了，中间还可以，结尾又仓促,20,0,0
Galloway,2022/2/24 4:24,所以到底是不是翻拍？,20,1,0
LettyZ,2022/5/4 0:20,前面共鸣时期还挺好看的，断线之后立马就拉垮，仓促结尾,20,0,0
披着人皮的鬼,2022/3/18 17:24,好想去你的,10,1,0
连翘,2022/3/24 20:06,演员为什么要接这么土的电影，消耗自己。,20,0,0
苏小妹,2022/7/17 19:56,男女互换、灵魂想通的戏码还是很好看,20,0,0
孑生,2022/3/16 11:07,分屏yue了,10,2,0
嘿，丫头！,2022/3/26 10:36,回忆有点多，爱情的火花大约来自日复一日的陪伴。突然想起陈韵如，那个不被别人注目的孤独的女生。,20,0,0
Fairy??,2022/3/19 10:54,是我喜欢的有趣题材，可惜拍得、演得都毫无灵气。,20,1,0
大宝,2022/3/31 22:38,给施柏宇一分，已经演了不少爱情片，演技也越来越成熟了，以后接个好片吧。这片子不适合拍电影，拍个狗血电视剧，能比现在评分高。,30,0,1
刘白,2022/3/16 23:53,烂片请滚出我的世界！,10,2,0
Fairy??,2022/3/19 10:54,是我喜欢的有趣题材，可惜拍得、演得都毫无灵气。,20,1,0
Chapelle L.,2022/12/2 23:39,片子一般般吧 適合十七八少男少女互相喜歡那種的去戲院 不大適合被生活毒打過的中年人了 不過感覺女主在新生代裡面演技還是不錯的 男主稍差,20,0,0
拉赫玛尼诺妇,2022/3/16 21:25,hello？派派你在干嘛啊？,10,1,0
Lee_刁,2022/3/18 11:29,去你妈的………智障………,10,3,0
弘直,2022/9/30 21:47,很好，毫无用脑的一个多小时。,20,1,0
大宝,2022/3/31 22:38,给施柏宇一分，已经演了不少爱情片，演技也越来越成熟了，以后接个好片吧。这片子不适合拍电影，拍个狗血电视剧，能比现在评分高。,30,0,1
莱克尔博德,2022/12/1 23:03,演员嘛是好的。,0,0,0
Sandra J,2022/11/3 21:30,剧本有些糙，男女主演的有些意思，但有些情节太套路化太尬。,30,0,1
伊心,2023/2/4 20:29,不知道为什么特别不喜欢片子里的这个奇幻设定，代入自己会觉得特别没有“安全感”和“隐私权”，而且撇去设定，剧情整体挺无聊的,10,1,0
0,2022/3/18 12:58,大力娇女一诶 周依然还是可爱的 施柏宇也养眼但是他俩口音很违和 ps施柏宇好喜欢接和时空穿梭相关的片子啊 想见你 循环初恋 还有这部,10,1,0
Super DD,2022/4/28 19:05,挺有趣的,30,0,1
凸肚,2022/2/19 0:07,甜度适中，杂志画风，理想青空，六便士也懂,30,1,1
通叔,2022/12/28 18:43,心意相通的爱情，也不好搞啊,30,0,1
STAYREAL,2022/3/26 9:00,演技太烂了,10,0,0
光影一路同行,2022/3/31 21:34,比较平乏。唯一是从结尾的彩蛋，看到该片拍摄方式的别出心裁。男女主应该在拍摄结尾戏之前没有见过面，和电影情节一样分隔两地拍摄。彩蛋里两人相见互动很有破壁成真感。但可惜在电影中两人情愫蔓延的戏并不太够。,20,0,0
甜水园子温,2022/3/17 14:30,海报的意思大概是男女主一共同框三场戏。施柏宇台词真的很烂，但他真的好适合演被错付的角色啊，一厢情愿绝活哥，以及这个角色有没有可能是gay？,20,1,0
电影上言君,2022/3/21 15:40,很俗套的故事，但是由于男女主角的选角成功，我还是很喜欢地看到了结尾，唯美的爱情故事，两个人互相跑到了对方的脑子里，这样的缘分只能结婚在一起了。,20,0,0
momo,2022/2/15 14:51,尬的时候是真的尬，好笑的时候真的很好笑,20,5,0
Spring,2022/2/16 0:29,跨时空心灵感应的这个根本设定没有处理好。对于这种全程能猜到剧情，加上并不新颖的、甚至有些退步的价值表达，让这部片没有什么探讨空间。,30,3,1
过香积兽,2022/4/19 17:09,不行。但周依然是有潜力的。,20,0,0
hungry,2022/2/27 7:39,剧情、表演、剪辑乏善可陈，男主的生活部分呢？拍得还不如we do not talk anymore的男女生活MV有意思呢。鉴于不能打0分，打1.9貌似不可能？那2.9/10不能再高了。垃圾片。,10,2,0
水边的小竹子,2022/3/21 22:55,故事设定无厘头，人物个性单薄，所有配角都是工具人，唯一优点就是男女主演还算比较讨喜??,30,0,1
Muto,2022/3/16 20:30,有人说：爱艺术易，被艺术爱难。我相信，标题《好想去你的世界爱你》是一句真心话，尤其在灵肉分离的工作氛围下。可惜，对于男女主人公来说，那或许是一个遥不可及的梦。不过，血脉相连，文化相通的两岸同胞以这种意外又神奇的可爱方式实现「灵肉 」统一也不错哈。崇拜是爱的基础——好的奇迹是惊喜，坏的奇迹是事故，鸡汤也好，狗血也罢，就让「文艺界」打工人聊以自慰吧。,20,1,0
HaagenDazs,2022/4/6 19:35,通常，名字越长，电影越烂。一星是给施柏宇的，哥，不能什么烂片都接啊,10,0,0
Orchid,2022/10/24 19:54,还不错。打工人依然也很可爱。男女主没啥对手戏。人物都不够立体。但音乐不错。,0,0,0
纤手破新橙,2022/2/17 21:32,故事设定比较有意思，演员演的不错，不知是导演还是编剧的原因，导致故事讲的连贯性不好，故事冲突处理的也不好。,20,0,0
如筠,2022/5/29 11:41,歪果仁十年前拍过的in your eyes，为什么我们能拍得这么差……想蹭一蹭女性议题，但却蹭得不伦不类，满腹怒气，浪漫气息全无。,10,0,0
徐子信,2022/3/18 21:33,台词写的太糟糕了，从女主嘴里说出来更加糟糕。,20,1,0
HHHHHHH_29991,2022/2/15 2:24,普通偏下又尴尬老土的水平……！！施柏宇我真的看错你了，想见你里留的印象那么好，一下子打破了……台腔真的太出戏太僵硬了！本来看题材还以为挺新颖，纯纯想多了……不同的题材，同样的尴尬??台词也是一级老土！剧情也是狗血无聊……最经典的莫过于：我分得清马克笔的不同色号，却分不清自己的心。救命??啊啊啊啊啊啊啊土死我算了！还有各种误会 擦肩而过……哎救救我吧！！,20,12,0
东莫卓羽,2022/3/1 0:00,2022情人节档，稍好于另外两部的爱情片。演的挺自然，男女主的荧幕CP感还是挺让人信服的。,30,2,1
Hua,2022/3/17 0:54,"挺好看的一部电影啊，看不懂为啥评论区这么可怕??。
男女主感情来的不突兀，最让我心动的莫过于他为她泡热水澡，她为他戴上手套。
他们都被最真实的对方吸引，在变成更好的自己后重新在一起。",40,10,1
睡懒觉的cc,2022/3/22 1:30,幸好男女主的颜值还算耐看。,0,0,0
开平彭于晏,2022/2/14 22:32,"14#好想去你的世界爱你 2022.02.14
除了有点小俗套小矫情，氛围型观众表示看的还挺舒服，“脑电波相通”的老梗之下的那些小矛盾也确实能逗人发笑。施柏宇周依然的演技是在线的，另外结合戏外俩人的短暂相见，情人节小糖水有了；只是万万没想到那个贡献了好听歌曲的焦迈奇，在床上躺了俩小时。",30,0,1
梁眼看电影,2022/3/29 16:03,两星全给周依然,20,0,0
密苏里茶茶,2022/8/13 0:00,get到施柏宇的颜了！！之前在想见你里过多关注许光汉，这部电影里觉得施柏宇更适合这种暖男文艺层次感齐刘海(在想见你里是眉上刘海，剪的七零八碎），而且浑身散发着艺术家气息，忧郁又迷人,30,0,1
梦之安魂曲,2022/3/17 22:08,以前看《你眼中的世界》时没觉得有多好看。但看了国产版，差距立马体现出来了。,20,1,0
半逗,2022/4/9 16:46,毋庸置疑，烂片一部，但不是最烂的,20,0,0
熊小叔叔叔,2022/3/18 17:26,No.2437 本该是挺不错的电影，但还是演员太年轻了吧。,30,0,1
秩秩斯干,2022/6/6 22:09,同问，盗取《你眼中的世界》的核心创意给人家版权费了吗？男主完完全全就是工具人，为了感应把人弄到大老远的德国，无论是职业 还是人物困境都非常离谱，最离谱的是结局，男主写的网络小说极具人气居然还被女主看见，从创意到结局，全都是悬浮着的，人为制造的“偶然”，无力吐槽,20,1,0
凝羽飞,2022/3/20 13:44,前面互相折腾的桥段其实还是有点意思的，但是快进到感情线就感觉很突兀，因为2个人其实就像网恋，但又不是互相彼此在流动的，就好像编剧说现在他们两喜欢对方了，可事实是作为观众我都没觉得他们到这一步了，这才是这片子最让人难受的点。整体风格其实还是很唯美的，但是说真的我也算是看过不少身体互换的电影了，这种频道串台还能互相控制身体的，是真的离谱中的离谱了。,20,1,0
小鸟天空,2022/3/21 13:12,前半段搞笑，后半段暖心，派派又演了一部穿越剧，从《想见你》开始，到《循环初恋》再到本片，是要将穿越进行到底的节奏啊，不过这次不是时间穿越，而是分隔两地的男女，脑电波穿越到了一起，可以说是很天马行空的想法了。而且电影有一半故事发生在德国，欧式建筑+大雪纷飞，画面也着实漂亮，符合情人节的浪漫气息。,40,0,1
四娘生猛,2022/3/28 22:56,小甜片的起名学,0,0,0
小约翰子奇,2022/2/15 14:43,挺纯粹的，双向奔赴，为对方努力的感觉很好。施柏宇很好。,50,8,1
SuYlla,2022/4/4 21:31,男主演技太差啦，女主别不是第二个张若楠吧,20,0,0
Rowena,2022/6/13 13:04,剧情2星颜值加1星,30,0,1
葉子,2022/3/18 20:44,男女主是在不同片场吧,20,1,0
王兆鑫,2022/3/16 22:05,可惜周依然,10,1,0
伍仁,2022/5/6 22:20,什么啊,20,0,0
晾衣场,2022/12/21 20:53,以前就好奇焦迈奇在里面演了什么角色，今天看了才知道全程演了植物人，最后还死了??，还是很喜欢施柏宇的。,30,0,1
1900,2022/2/14 20:11,和《你眼中的世界》一毛一样…,10,9,0
小孙字典没输字,2022/9/18 21:38,这是最美的“三年后”故事，有缘相隔千里也会相逢。????,50,0,1
晓思丽英,2022/3/16 23:20,138,30,0,1
Shing Chen,2022/3/18 23:19,比我想的好看呢，好可惜情人节当天没有去电影院看。情人节也因为自己不太会过，过得不太愉快。因为意外脑震荡，将遥远世界的两个人脑电波共振起来了。你能感受我的感受，你能听到我我也能听到你，两个人像两个陌生网友，却又是那种完全共情，形影不离合二为一的两个人，这种感觉怕是所有情侣都想拥有吧。抛除掉很多的不合理，和简单到第一眼就猜到结局的各种工具人设定，爱情中的不讲道理都讲得挺到位，定位清楚，目标客户和目标档期明确，这样就够了。,30,0,1
细混子,2022/3/26 13:18,我觉得还可以啊，有点那个美剧的意思，我还是很喜欢这种两个人命运中的连结。就是有一个问题，男女主脑电波交流这么久，加个微信视频一下很难吗？还有那个“男神”什么鬼，门槛太低了吧。还是要跟懂自己尊重自己的人在一起。,40,3,1
十三妹,2022/2/17 9:51,"这是今年情人节档唯一一部没死人的电影,比隔壁《不要忘记我爱你》《十年一品温如言》强点",10,3,0
藤藤崎,2022/11/4 21:13,概念挺浪漫的（周依然依然是我心中最灵性小花，施柏宇就适合这样带点忧郁和诗意的角色,30,1,1
小金,2022/2/15 0:04,想不到大陆电影工业最先实现的地方居然是国产谈恋爱电影：套路化的毫无疑义拼凑出来的大长片名，青春男女主，奇幻剧情，然后就可以单纯地爱来爱去了。虽然少了些跌宕起伏，但作为情人节特供给情侣们消磨下时间其实也无可厚非？国产青春片在骂声一片中走过十年后，摒弃了堕胎等狗血剧情，逐渐提纯到这种程度倒也不失为一种进步？,20,4,0
落落的风,2022/2/15 21:34,男主演技尤为感人！,20,4,0
rose☆彡,2023/2/26 19:04,文武兄弟一起颜值一般，和女生在一起突然颜值拔高，难道就是偶像剧光环么,30,0,1
Evangeline8,2022/2/23 19:45,"几乎是抄袭了各国各类同概念影视作品。。
整个表演看下来也很尬。。。！",20,1,0
Jothea,2022/3/17 23:15,按我的思路……在知道与别人脑波共振第一天我就会请假去德国找他玩……我们不浪费时间,20,1,0
